team,season,week,l5_off_epa,l5_def_epa
DET,2021,6,-0.07607221286743879,0.13679882436990737
DET,2021,7,-0.09483327399939298,0.11827287226915359
DET,2021,8,-0.08016129285097122,0.09208911806344985
DET,2021,10,-0.1528372161090374,0.1264307588338852
DET,2021,11,-0.16387274414300917,0.06809912919998169
DET,2021,12,-0.17172557562589646,0.06164022535085678
DET,2021,13,-0.1443053275346756,0.03300761254504323
DET,2021,14,-0.17257073968648912,0.013033757824450732
DET,2021,15,-0.117851360142231,0.018039701599627735
DET,2021,16,-0.08683077841997147,0.003435323853045702
DET,2021,17,-0.02125488817691803,0.03662576945498586
DET,2021,18,-0.008152180165052415,0.09887867420911789
DET,2022,1,0.04251091256737709,0.09346649311482906
DET,2022,2,0.09335972890257835,0.09299051426351071
DET,2022,3,0.0880662176758051,0.14417488239705561
DET,2022,4,0.0791615229099989,0.12261714749038219
DET,2022,5,0.12578154988586904,0.16779461316764355
DET,2022,7,0.00446636863052845,0.17872460633516313
DET,2022,8,-0.07769678197801114,0.12719394555315375
DET,2022,9,-0.04399114921689033,0.17493542423471808
DET,2022,10,-0.07670804858207703,0.15631182035431265
DET,2022,11,-0.10461491346359253,0.06267223646864295
DET,2022,12,-0.003877745568752289,0.04344554832205176
DET,2022,13,0.06075348407030105,0.06449381411075591
DET,2022,14,0.06877269297838211,-0.011108894646167756
DET,2022,15,0.13968188911676407,0.024604922533035277
DET,2022,16,0.12149938866496086,-0.0035844922065734865
DET,2022,17,0.11981956884264947,0.07550451457500458
DET,2022,18,0.14852279648184777,-0.011920054256916047
DET,2023,1,0.11691779270768166,-0.0249434232711792
DET,2023,2,0.0712590384297073,-0.06596809774637222
DET,2023,3,0.055793250631541016,-0.0035628855228424074
DET,2023,4,0.026893674861639738,-0.1455448567867279
DET,2023,5,0.009791385661810637,-0.12233916223049164
DET,2023,6,0.03418000740930438,-0.10751795619726182
DET,2023,7,0.06273306906223297,-0.12701115757226944
DET,2023,8,0.03972419202327728,-0.0831727221608162
DET,2023,10,0.02435998022556305,-0.12055048495531082
DET,2023,11,0.08853314518928528,-0.035969685018062594
DET,2023,12,0.057980820536613464,-0.0163069911301136
DET,2023,13,0.000940626859664917,0.05148081108927727
DET,2023,14,0.054964843392372134,-0.04858068749308586
DET,2023,15,0.056556472182273866,0.061199847236275674
DET,2023,16,0.03978458344936371,-0.004380842670798302
DET,2023,17,0.06644779443740845,-0.0028470460325479507
DET,2023,18,0.08267066776752471,-0.03435998074710369
DET,2024,1,0.08830493092536926,-0.030150185525417327
DET,2024,2,0.13899145722389222,-0.02649351991713047
DET,2024,3,0.0592104509472847,-0.02083076275885105
DET,2024,4,0.02763649672269821,-0.07376613803207874
DET,2024,6,0.12709998935461045,-0.04417488239705562
DET,2024,7,0.17144328206777573,-0.15042178705334663
DET,2024,8,0.17023534327745438,-0.14853344932198526
DET,2024,9,0.18904226161539556,-0.18704527989029884
DET,2024,10,0.19591919146478176,-0.1425062444061041
DET,2024,11,0.08437328748404979,-0.20504882149398326
DET,2024,12,0.11125157289206981,-0.17021373920142652
DET,2024,13,0.11235333792865276,-0.20879690833389758
DET,2024,14,0.12210591807961464,-0.1526842826977372
DET,2024,15,0.1238280825316906,-0.12375271376222371
DET,2024,16,0.19626799002289771,0.011894520558416843
DET,2024,17,0.16053235307335853,0.08906802684068679
DET,2024,18,0.20854652896523476,0.1844124510884285
GB,2016,3,-0.0224357470870018,-0.057451315224170685
GB,2016,5,0.06503215928872426,0.03738881150881449
GB,2016,6,0.05410373630002141,-0.019829537719488144
GB,2016,7,-0.0011340942233800887,0.00615672767162323
GB,2016,8,-0.0077980484813451765,-0.038179445266723636
GB,2016,9,0.07624268271028996,0.025279802083969117
GB,2016,10,0.04759182222187519,-0.016153461858630182
GB,2016,11,0.05689315795898438,0.07982095070183277
GB,2016,12,0.13514877259731292,0.12961709685623646
GB,2016,13,0.16911546885967255,0.18319535739719867
GB,2016,14,0.11713298596441746,0.1282316941767931
GB,2016,15,0.1265999425202608,0.058226758241653444
GB,2016,16,0.15831320323050022,0.018190151453018187
GB,2016,17,0.15779907442629337,-0.04370294809341431
GB,2017,1,0.15963066555559635,-0.020320388674736022
GB,2017,2,0.15940228961408137,-0.06228858232498169
GB,2017,3,0.14627347998321055,0.042810776829719545
GB,2017,4,0.08309768103063106,0.03555536046624184
GB,2017,5,0.09187933169305325,0.002474115043878555
GB,2017,6,0.10086751542985439,0.0023994483053684235
GB,2017,7,0.03207263946533203,0.012823808938264847
GB,2017,9,0.02660212367773056,0.017920035868883133
GB,2017,10,0.03369057103991509,0.05865567922592163
GB,2017,11,0.013036900013685227,0.054138275980949405
