team,season,week,l5_qb_epa
NE,2014,4,-1.2327768087387085
NE,2014,5,-4.390024566650391
NE,2014,6,-1.8911767959594727
NE,2014,7,6.230471801757813
NE,2014,8,7.216754817962647
NE,2014,9,12.63744068145752
NE,2014,11,17.65211715698242
NE,2014,12,18.573434257507323
NE,2014,13,14.76309871673584
NE,2014,14,15.639080429077149
NE,2014,15,9.8546612739563
NE,2014,16,9.211999130249023
NE,2014,17,5.839975452423095
NE,2015,1,2.0677655220031737
NE,2015,2,2.7802180290222167
NE,2015,3,3.9511388778686523
NE,2015,5,6.916177463531494
NE,2015,6,9.983741760253906
NE,2015,7,13.489208602905274
NE,2015,8,11.843211555480957
NE,2015,9,12.947666358947753
NE,2015,10,11.160768127441406
NE,2015,11,10.051348876953124
NE,2015,12,9.123782539367676
NE,2015,13,8.311266231536866
NE,2015,14,3.5784671783447264
NE,2015,15,1.819874382019043
NE,2015,16,3.2541130065917967
NE,2015,17,3.651116466522217
NE,2016,1,2.160487699508667
NE,2016,2,6.363273286819458
NE,2016,3,8.98322148323059
NE,2016,4,5.0245555400848385
NE,2016,5,3.6875566720962523
NE,2016,6,9.305661463737488
NE,2016,7,10.371810412406921
NE,2016,8,9.571596598625183
NE,2016,10,15.282984709739685
NE,2016,11,18.191402626037597
NE,2016,12,15.055731391906738
NE,2016,13,12.596391582489014
NE,2016,14,9.988785862922668
NE,2016,15,8.339356160163879
NE,2016,16,5.71673966050148
NE,2016,17,6.47716446518898
NE,2017,1,8.272023874521256
NE,2017,2,8.442302423715592
NE,2017,3,10.851214319467545
NE,2017,4,13.024242615699768
NE,2017,5,12.489961838722229
NE,2017,6,9.955432486534118
NE,2017,7,12.158808851242066
NE,2017,8,9.950263166427613
NE,2017,10,9.67015986442566
NE,2017,11,10.093314123153686
NE,2017,12,13.483439826965332
NE,2017,13,12.64046115875244
NE,2017,14,12.331269073486329
NE,2017,15,9.165466690063477
NE,2017,16,8.066190910339355
NE,2017,17,4.702476501464844
NE,2018,1,2.551586389541626
NE,2018,2,1.6879665851593018
NE,2018,3,4.018621397018433
NE,2018,4,0.5690528392791748
NE,2018,5,2.394946050643921
NE,2018,6,4.810619068145752
NE,2018,7,3.5954787731170654
NE,2018,8,5.547478532791137
NE,2018,9,9.422860193252564
NE,2018,10,7.08224751651287
NE,2018,12,4.3228973120450975
NE,2018,13,6.949616357684135
NE,2018,14,5.886080476641655
NE,2018,15,8.153865930438041
NE,2018,16,8.445699405670165
NE,2018,17,6.78069372177124
NE,2019,1,6.328715038299561
NE,2019,2,7.8512084007263185
NE,2019,3,7.076307010650635
NE,2019,4,8.892514991760255
NE,2019,5,8.168557167053223
NE,2019,6,8.205174446105957
NE,2019,7,4.311130380630493
NE,2019,8,1.9776264667510985
NE,2019,9,0.8679946422576904
NE,2019,11,4.460374641418457
NE,2019,12,0.6470017433166504
NE,2019,13,-0.14452853202819824
NE,2019,14,-0.34410958290100097
NE,2019,15,-5.295183897018433
NE,2019,16,-6.201778364181519
NE,2019,17,-2.5841692447662354
NE,2020,1,-1.2675730884075165
NE,2020,2,-1.2517980754375457
NE,2020,3,6.816446095705032
NE,2020,4,6.410646849870682
NE,2020,6,2.124085456132889
NE,2020,7,-0.4582474708557129
NE,2020,8,-3.4308085441589355
NE,2020,9,-7.141041278839111
NE,2020,10,-3.454176902770996
NE,2020,11,-0.9527260780334472
NE,2020,12,3.8027749061584473
NE,2020,13,3.80132417678833
NE,2020,14,2.322948360443115
NE,2020,15,-3.954282283782959
NE,2020,16,-4.709788048267365
NE,2020,17,-7.67340213060379
NE,2021,1,-3.2634940266609194
NE,2021,2,0.2737954020500183
